#freq(mhz), s11(dB)
3.00000e+01, -2.34700e-01
3.10000e+01, -3.02200e-01
3.20000e+01, -3.88200e-01
3.30000e+01, -4.97800e-01
3.40000e+01, -6.36900e-01
3.50000e+01, -8.13000e-01
3.60000e+01, -1.03490e+00
3.70000e+01, -1.31240e+00
3.80000e+01, -1.65860e+00
3.90000e+01, -2.08620e+00
4.00000e+01, -2.48490e+00
4.10000e+01, -3.09810e+00
4.20000e+01, -3.83550e+00
4.30000e+01, -4.71240e+00
4.40000e+01, -5.74380e+00
4.50000e+01, -6.94770e+00
4.60000e+01, -8.34470e+00
4.70000e+01, -9.96430e+00
4.80000e+01, -1.18512e+01
4.90000e+01, -1.40785e+01
5.00000e+01, -1.67692e+01
5.10000e+01, -2.01238e+01
5.20000e+01, -2.43050e+01
5.30000e+01, -2.76428e+01
5.40000e+01, -2.57836e+01
5.50000e+01, -2.25456e+01
5.60000e+01, -2.00938e+01
5.70000e+01, -1.83062e+01
5.80000e+01, -1.69625e+01
5.90000e+01, -1.59273e+01
6.00000e+01, -1.54436e+01
6.10000e+01, -1.47255e+01
6.20000e+01, -1.41320e+01
6.30000e+01, -1.36326e+01
6.40000e+01, -1.32048e+01
6.50000e+01, -1.28318e+01
6.60000e+01, -1.25005e+01
6.70000e+01, -1.22006e+01
6.80000e+01, -1.19241e+01
6.90000e+01, -1.16642e+01
7.00000e+01, -1.14157e+01
7.10000e+01, -1.11744e+01
7.20000e+01, -1.09392e+01
7.30000e+01, -1.07031e+01
7.40000e+01, -1.04667e+01
7.50000e+01, -1.02286e+01
7.60000e+01, -9.99070e+00
7.70000e+01, -9.74870e+00
7.80000e+01, -9.50460e+00
7.90000e+01, -9.25920e+00
8.00000e+01, -8.88850e+00
8.10000e+01, -8.63090e+00
8.20000e+01, -8.37570e+00
8.30000e+01, -8.12330e+00
8.40000e+01, -7.87500e+00
8.50000e+01, -7.63120e+00
8.60000e+01, -7.39240e+00
8.70000e+01, -7.15920e+00
8.80000e+01, -6.93330e+00
8.90000e+01, -6.71230e+00
9.00000e+01, -6.49790e+00
9.10000e+01, -6.29020e+00
9.20000e+01, -6.08940e+00
9.30000e+01, -5.89540e+00
9.40000e+01, -5.70820e+00
9.50000e+01, -5.52780e+00
9.60000e+01, -5.35390e+00
9.70000e+01, -5.18650e+00
9.80000e+01, -5.02550e+00
9.90000e+01, -4.87040e+00
1.00000e+02, -4.72120e+00
